Unnamed: 0,y,x,heading,distance,carvature,speedMode,steer,velocity,status,type
781,32.04699774,-151.325135,151.565,0.205088263,0.013275814,0,0,0,good,GPS
782,32.15303934,-151.500681,151.715,0.205088264,0.012765206,0,0,0,good,GPS
783,32.24895472,-151.6874719,151.862,0.209977607,0.012218608,0,0,0,good,GPS
784,32.35499633,-151.8630178,152.004,0.205088265,0.012084395,0,0,0,good,GPS
785,32.4509117,-152.0498087,152.145,0.20997761,0.011719889,0,0,0,good,GPS
786,32.55695332,-152.2253546,152.288,0.205088267,0.012169496,0,0,0,good,GPS
787,32.6528687,-152.4121455,152.437,0.209977611,0.012384847,0,0,0,good,GPS
788,32.75891032,-152.5876914,152.597,0.205088268,0.013616219,0,0,0,good,GPS
789,32.85464189,-152.7634056,152.755,0.200099954,0.013781214,0,0,0,good,GPS
790,32.96086733,-152.9500282,152.905,0.214736743,0.012191644,0,0,0,good,GPS
791,33.0565989,-153.1257424,153.047,0.200099955,0.012385648,0,0,0,good,GPS
792,33.16282435,-153.3123651,153.177,0.214736743,0.010566091,0,0,0,good,GPS
793,33.25873975,-153.4991559,153.297,0.209977615,0.009974373,0,0,0,good,GPS
794,33.35447133,-153.6748701,153.438,0.200099956,0.012298425,0,0,0,good,GPS
795,33.45038673,-153.861661,153.612,0.209977615,0.014462841,0,0,0,good,GPS
796,33.54611831,-154.0373751,153.8,0.200099959,0.016397899,0,0,0,good,GPS
797,33.64203372,-154.224166,153.968,0.209977616,0.013964122,0,0,0,good,GPS
798,33.73794913,-154.4109569,154.131,0.209977617,0.013548524,0,0,0,good,GPS
799,33.84399077,-154.5865028,154.26,0.205088276,0.010978076,0,0,0,good,GPS
800,33.93990618,-154.7732937,154.434,0.209977619,0.014462841,0,0,0,good,GPS
801,34.02532773,-154.949176,154.622,0.195528611,0.016781273,0,0,0,good,GPS
802,34.1315532,-155.1357987,154.807,0.214736751,0.01503636,0,0,0,normal,GPS
803,34.21715857,-155.3227578,154.997,0.205625827,0.01612699,0,0,0,normal,GPS
804,34.31289017,-155.4984719,155.17,0.200099962,0.015089556,0,0,0,normal,GPS
805,34.39849554,-155.685431,155.325,0.205625827,0.013156228,0,0,0,normal,GPS
806,34.49441097,-155.8722219,155.47,0.209977624,0.012052367,0,0,0,normal,GPS
807,34.58001635,-156.059181,155.619,0.205625827,0.012646955,0,0,0,good,GPS
808,34.66562173,-156.24614,155.775,0.205625829,0.013241107,0,0,0,good,GPS
809,34.76153716,-156.4329309,155.939,0.209977623,0.013631643,0,0,0,good,GPS
810,34.84714254,-156.61989,156.107,0.205625831,0.014259654,0,0,0,good,GPS
811,34.94305798,-156.8066809,156.287,0.209977625,0.014961559,0,0,0,good,GPS
812,35.02866337,-156.99364,156.457,0.205625831,0.014429412,0,0,0,good,GPS
813,35.11426876,-157.1805991,156.623,0.205625831,0.014089896,0,0,0,good,GPS
814,35.19987415,-157.3675581,156.792,0.205625831,0.014344533,0,0,0,good,GPS
815,35.28547954,-157.5545172,156.96,0.205625832,0.014259654,0,0,0,good,GPS
816,35.38139499,-157.7413081,157.124,0.209977628,0.013631643,0,0,0,good,GPS
817,35.46700039,-157.9282672,157.298,0.205625833,0.014768927,0,0,0,good,GPS
818,35.55278961,-158.126303,157.472,0.215819327,0.014071367,0,0,0,good,GPS
819,35.63839501,-158.3132621,157.646,0.205625835,0.014768927,0,0,0,good,GPS
820,35.73449429,-158.5111297,157.804,0.219969698,0.012536364,0,0,0,good,GPS
821,35.82009969,-158.6980888,157.964,0.205625836,0.013580622,0,0,0,good,GPS
822,35.90588892,-158.8961246,158.121,0.215819329,0.012696578,0,0,0,good,GPS
823,35.98118428,-159.0832519,158.292,0.201707743,0.014796224,0,0,0,good,GPS
824,36.06697351,-159.2812878,158.463,0.215819331,0.013828757,0,0,0,good,GPS
825,36.14226887,-159.4684151,158.643,0.201707744,0.015574973,0,0,0,good,GPS
826,36.22805811,-159.6664509,158.808,0.215819332,0.013343537,0,0,0,good,GPS
827,36.31366352,-159.85341,158.977,0.205625838,0.014344532,0,0,0,good,GPS
828,36.38914271,-160.051614,159.153,0.212089486,0.014483412,0,0,0,good,GPS
829,36.47474813,-160.2385731,159.326,0.205625838,0.014684048,0,0,0,good,GPS
830,36.5500435,-160.4257004,159.506,0.201707746,0.015574973,0,0,0,good,GPS
